GOLDPOS	SID	TID	TOKEN	POS1	POS2
_	84	5	die	ART	ART
_	84	6	äußerste	ADJA	ADJA
_	84	7	sonst	ADV	ADV
_	84	8	fast	ADV	ADV
_	84	9	und	KON	KON
_	84	10	unheilbare	ADJA	ADJA
_	84	11	Lähme	NN	NN
_	84	12	heilt	VVFIN	VVFIN
_	84	13	/	$(	$(
_	84	14	auch	ADV	ADV
PIAT	84	15	andere	ADJA	PIAT
_	84	16	Tugenden	NN	NN
_	84	17	mehr	ADV	ADV
_	84	18	hat	VAFIN	VAFIN
_	84	19	/	$(	$(
_	84	20	so	ADV	ADV
_	84	21	dem	ART	ART
_	84	22	Gold	NN	NN
_	84	23	zugeschrieben	VVPP	VVPP
_	84	24	werden	VAINF	VAINF
_	84	25	/	$(	$(
KOUS	84	26	inmassen	KOUS	VVFIN
_	84	27	die	ART	ART
NN	84	28	Chymici	NE	NN
_	84	29	eben	ADV	ADV
PDS	84	30	das	ART	ART
_	84	31	/	$(	$(
PRELS	84	32	was	PWS	PRELS
_	84	33	dieser	PDAT	PDAT
_	84	34	Brunnen	NN	NN
_	84	35	vermag	VVFIN	VVFIN
_	84	36	/	$(	$(
_	84	37	mit	APPR	APPR
_	84	38	ihrem	PPOSAT	PPOSAT
FM	84	39	auro	NE	ADJA
FM	84	40	potabili	NE	NE
_	84	41	auszurichten	VVIZU	VVIZU
VVFIN	84	42	vermeinen	VVFIN	VVINF
_	84	43	.	$.	$.
_	85	1	zum	APPRART	APPRART
PIS	85	2	Anderen	ADJA	PIS
_	85	3	/	$(	$(
_	85	4	weil	KOUS	KOUS
_	85	5	dieser	PDAT	PDAT
_	85	6	Brunnen	NN	NN
_	85	7	/	$(	$(
PRELS	85	8	welcher	PWAT	PWS
_	85	9	doch	ADV	ADV
_	85	10	mit	APPR	APPR
_	85	11	so	ADV	ADV
PIAT	85	12	vielen	ADV	PIAT
_	85	13	herrlichen	ADJA	ADJA
_	85	14	Tugenden	NN	NN
_	85	15	und	KON	KON
_	85	16	Kräften	NN	NN
VVPP	85	17	begabt	ADJD	VVPP
_	85	18	/	$(	$(
_	85	19	keinen	PIAT	PIAT
_	85	20	sonderlichen	ADJA	ADJA
_	85	21	Geschmack	NN	NN
_	85	22	hat	VAFIN	VAFIN
_	85	23	/	$(	$(
_	85	24	daraus	PAV	PAV
PIS	85	25	einer	ART	PIS
_	85	26	wohl	ADV	ADV
_	85	27	schließen	VVINF	VVINF
_	85	28	könnte	VMFIN	VMFIN
_	85	29	/	$(	$(
_	85	30	dass	KOUS	KOUS
PDAT	85	31	solche	PIAT	PIAT
_	85	32	Kraft	NN	NN
_	85	33	des	ART	ART
_	85	34	Wassers	NN	NN
_	85	35	von	APPR	APPR
_	85	36	keinem	PIAT	PIAT
_	85	37	Erdsaft	NN	NN
_	85	38	oder	KON	KON
PIAT	85	39	anderer	ADJA	PIAT
_	85	40	Bergart	NN	NN
_	85	41	und	KON	KON
_	85	42	Metall	NN	NN
_	85	43	/	$(	$(
_	85	44	sondern	KON	KON
_	85	45	fast	ADV	ADV
_	85	46	einig	ADJD	ADJD
_	85	47	und	KON	KON
_	85	48	allein	ADV	ADV
_	85	49	vom	APPRART	APPRART
_	85	50	Gold	NN	NN
_	85	51	oder	KON	KON
_	85	52	Silber	NN	NN
_	85	53	herkomme	VVFIN	VVFIN
_	85	54	.	$.	$.
ADJA	86	1	3.	NE	CARD
_	87	1	so	ADV	ADV
_	87	2	soll	VMFIN	VMFIN
_	87	3	auch	ADV	ADV
PDAT	87	4	solches	PIAT	PIS
_	87	5	der	ART	ART
_	87	6	Augenschein	NN	NN
_	87	7	geben	VVINF	VVINF
_	87	8	/	$(	$(
_	87	9	in	APPR	APPR
_	87	10	dem	ART	ART
_	87	11	/	$(	$(
KOUS	87	12	wie	KOKOM	KOUS
PIS	87	13	etliche	PIAT	PIS
_	87	14	sagen	VVINF	VVINF
_	87	15	/	$(	$(
_	87	16	der	ART	ART
_	87	17	Brunnen	NN	NN
_	87	18	kleine	ADJA	ADJA
_	87	19	Goldkörnlein	NN	NN
_	87	20	mit	APPR	APPR
_	87	21	sich	PRF	PRF
_	87	22	bringt	VVFIN	VVFIN
_	87	23	/	$(	$(
PRELS	87	24	welches	PRELS	PWS
_	87	25	in	APPR	APPR
_	87	26	der	ART	ART
_	87	27	Quelle	NN	NN
_	87	28	und	KON	KON
_	87	29	im	APPRART	APPRART
_	87	30	Sande	NN	NN
_	87	31	zu	PTKZU	PTKZU
_	87	32	sehen	VVINF	VVINF
_	87	33	/	$(	$(
_	87	34	wenn	KOUS	KOUS
_	87	35	er	PPER	PPER
_	87	36	ausgeschöpft	VVPP	VVPP
_	87	37	.	$.	$.
ADJA	88	1	4.	NE	ADJA
ADV	88	2	item	NN	ADV
_	88	3	weil	KOUS	KOUS
_	88	4	unten	ADV	ADV
_	88	5	auf	APPR	APPR
_	88	6	dem	ART	ART
_	88	7	Grunde	NN	NN
_	88	8	rote	ADJA	ADJA
_	88	9	Steinlein	NN	NN
_	88	10	/	$(	$(
PRELS	88	11	welche	PWAT	PRELS
_	88	12	/	$(	$(
KOUS	88	13	wie	KOKOM	KOUS
_	88	14	ich	PPER	PPER
_	88	15	selbsten	ADV	ADV
_	88	16	weiß	VVFIN	VVFIN
_	88	17	/	$(	$(
_	88	18	den	ART	ART
_	88	19	Kindern	NN	NN
_	88	20	mit	APPR	APPR
_	88	21	großem	ADJA	ADJA
_	88	22	Nutzen	NN	NN
_	88	23	vor	APPR	APPR
_	88	24	die	ART	ART
_	88	25	schwere	ADJA	ADJA
_	88	26	Not	NN	NN
_	88	27	eingegeben	VVPP	VVPP
_	88	28	worden	VAPP	VAPP
_	88	29	.	$.	$.
ADJA	89	1	5.	NE	CARD
_	90	1	ein	ART	ART
_	90	2	vornehmer	ADJA	ADJA
_	90	3	Chymicus	NE	NE
KOUS	90	4	als	KOKOM	KOUS
_	90	5	er	PPER	PPER
_	90	6	den	ART	ART
_	90	7	Brunnen	NN	NN
_	90	8	destilliert	VVPP	VVPP
_	90	9	/	$(	$(
_	90	10	hat	VAFIN	VAFIN
_	90	11	auf	APPR	APPR
_	90	12	dem	ART	ART
_	90	13	Grunde	NN	NN
_	90	14	ein	ART	ART
ADJA	90	15	rötliches	ADJD	ADJA
NN	90	16	Sedimentum	NE	NN
_	90	17	,	$,	$,
PAV	90	18	darinnen	ADV	VVFIN
_	90	19	weiße	ADJA	ADJA
_	90	20	Pünktlein	NN	NN
_	90	21	oder	KON	KON
NN	90	22	Tiiplein	NE	NN
_	90	23	gewesen	VAPP	VAPP
_	90	24	/	$(	$(
_	90	25	gefunden	VVPP	VVPP
_	90	26	/	$(	$(
_	90	27	welches	PRELS	PRELS
_	90	28	er	PPER	PPER
_	90	29	vor	APPR	APPR
_	90	30	eine	ART	ART
_	90	31	gewisse	ADJA	ADJA
_	90	32	Anzeigung	NN	NN
_	90	33	gehalten	VVPP	VVPP
_	90	34	/	$(	$(
_	90	35	dass	KOUS	KOUS
_	90	36	dieser	PDAT	PDAT
_	90	37	Brunnen	NN	NN
_	90	38	von	APPR	APPR
_	90	39	Gold	NN	NN
_	90	40	und	KON	KON
_	90	41	Silber	NN	NN
_	90	42	/	$(	$(
PRELS	90	43	welches	PRELS	PWS
_	90	44	aber	ADV	ADV
_	90	45	noch	ADV	ADV
_	90	46	nicht	PTKNEG	PTKNEG
_	90	47	zeitig	ADJD	ADJD
_	90	48	/	$(	$(
_	90	49	herkäme	VVFIN	VVFIN
_	90	50	/	$(	$(
_	90	51	und	KON	KON
_	90	52	seine	PPOSAT	PPOSAT
_	90	53	Mineram	NN	NN
_	90	54	hätte	VAFIN	VAFIN
_	90	55	.	$.	$.
_	91	1	zwar	ADV	ADV
_	91	2	ich	PPER	PPER
_	91	3	muss	VMFIN	VMFIN
VVINF	91	4	bekennen	VVFIN	VVINF
_	91	5	/	$(	$(
_	91	6	dass	KOUS	KOUS
_	91	7	ich	PPER	PPER
_	91	8	im	APPRART	APPRART
_	91	9	Anfang	NN	NN
_	91	10	/	$(	$(
_	91	11	ehe	KOUS	KOUS
_	91	12	dann	ADV	ADV
_	91	13	ich	PPER	PPER
PDAT	91	14	dieses	PDS	PDAT
_	91	15	Wasser	NN	NN
_	91	16	zu	PTKZU	PTKZU
_	91	17	probieren	VVINF	VVINF
_	91	18	bekommen	VVINF	VVINF
VMINF	91	19	können	VMFIN	VMINF
_	91	20	/	$(	$(
PRF	91	21	mich	PPER	PRF
_	91	22	durch	APPR	APPR
_	91	23	den	ART	ART
_	91	24	ersten	ADJA	ADJA
_	91	25	und	KON	KON
PIAT	91	26	anderen	ADJA	PIS
_	91	27	Beweis	NN	NN
_	91	28	habe	VAFIN	VAFIN
_	91	29	bewegen	VVINF	VVINF
_	91	30	lassen	VVINF	VVINF
_	91	31	/	$(	$(
_	91	32	dass	KOUS	KOUS
_	91	33	ich	PPER	PPER
_	91	34	fast	ADV	ADV
_	91	35	eben	ADV	ADV
_	91	36	dieser	PDAT	PDAT
_	91	37	Meinung	NN	NN
_	91	38	gewesen	VAPP	VAPP
_	91	39	/	$(	$(
PRF	91	40	mich	PPER	PRF
_	91	41	auch	ADV	ADV
_	91	42	bei	APPR	APPR
PIS	91	43	etlichen	ADJA	PIAT
APPR	91	44	zu	PTKZU	APPR
_	91	45	derselben	PDAT	PDAT
_	91	46	Meinung	NN	NN
VVPP	91	47	bekannt	VVFIN	ADJD
_	91	48	.	$.	$.
_	92	1	nach	APPR	APPR
PDS	92	2	dem	ART	ART
_	92	3	ich	PPER	PPER
_	92	4	aber	ADV	ADV
_	92	5	den	ART	ART
_	92	6	Sachen	NN	NN
_	92	7	weiter	ADV	ADV
VVPP	92	8	nachgegangen	NN	VVPP
_	92	9	/	$(	$(
_	92	10	habe	VAFIN	VAFIN
_	92	11	ich	PPER	PPER
_	92	12	befunden	VVPP	VVPP
_	92	13	/	$(	$(
_	92	14	dass	KOUS	KOUS
PRF	92	15	sich	PPER	PRF
_	92	16	es	PPER	PPER
_	92	17	in	APPR	APPR
_	92	18	der	ART	ART
_	92	19	Wahrheit	NN	NN
_	92	20	anders	ADV	ADV
_	92	21	verhalte	VVFIN	VVFIN
_	92	22	/	$(	$(
_	92	23	und	KON	KON
_	92	24	diese	PDAT	PDAT
_	92	25	Meinung	NN	NN
_	92	26	nicht	PTKNEG	PTKNEG
_	92	27	Stadt	NN	NN
_	92	28	und	KON	KON
_	92	29	Raum	NN	NN
VAINF	92	30	haben	VAFIN	VAINF
_	92	31	könne	VMFIN	VMFIN
_	92	32	.	$.	$.
KOUS	92	33	sintemal	KOUS	ADV
ADJA	92	34	1.	NE	ADV
_	92	35	das	ART	ART
NN	92	36	Sedimentum	NE	NN
_	92	37	brennt	VVFIN	VVFIN
_	92	38	/	$(	$(
PRELS	92	39	welches	PRELS	PWS
_	92	40	so	ADV	ADV
_	92	41	es	PPER	PPER
_	92	42	von	APPR	APPR
_	92	43	einem	ART	ART
_	92	44	Gold	NN	NN
_	92	45	oder	KON	KON
_	92	46	Silber	NN	NN
_	92	47	/	$(	$(
_	92	48	es	PPER	PPER
_	92	49	wäre	VAFIN	VAFIN
_	92	50	zeitig	ADJD	ADJD
_	92	51	oder	KON	KON
_	92	52	unzeitig	ADJD	ADJD
_	92	53	/	$(	$(
_	92	54	herrührte	VVFIN	VVFIN
_	92	55	/	$(	$(
_	92	56	nicht	PTKNEG	PTKNEG
_	92	57	also	ADV	ADV
ADV	92	58	leichtlich	ADJD	ADV
VVINF	92	59	geschehen	VVPP	VVINF
_	92	60	könnte	VMFIN	VMFIN
_	92	61	.	$.	$.
ADJA	93	1	2.	NE	ADV
_	93	2	dieweil	KOUS	KOUS
_	93	3	ich	PPER	PPER
_	93	4	halte	VVFIN	VVFIN
_	93	5	/	$(	$(
KOUS	93	6	das	ART	ART
_	93	7	mit	APPR	APPR
_	93	8	wenigem	PIAT	PIAT
_	93	9	Grund	NN	NN
_	93	10	gesagt	VVPP	VVPP
_	93	11	werde	VAFIN	VAFIN
_	93	12	/	$(	$(
KOUS	93	13	das	ART	ART
_	93	14	eigentlich	ADV	ADV
_	93	15	zu	PTKZU	PTKZU
_	93	16	reden	VVINF	VVINF
_	93	17	/	$(	$(
ADJA	93	18	unreifes	ADJD	ADJA
_	93	19	Gold	NN	NN
_	93	20	oder	KON	KON
_	93	21	Silber	NN	NN
_	93	22	sei	VAFIN	VAFIN
_	93	23	/	$(	$(
KOUS	93	24	sintemal	KOUS	ADV
_	93	25	es	PPER	PPER
_	93	26	wider	APPR	APPR
_	93	27	die	ART	ART
_	93	28	Natur	NN	NN
_	93	29	und	KON	KON
FM	93	30	rationem	NE	ADJA
FM	93	31	generationis	NE	ADJA
FM	93	32	horum	NE	NN
FM	93	33	metallorum	NE	ADJD
_	93	34	in	APPR	APPR
FM	93	35	terræ	NE	ADJA
FM	93	36	visceribus	NE	NN
_	93	37	läuft	VVFIN	VVFIN
_	93	38	/	$(	$(
_	93	39	dass	KOUS	KOUS
_	93	40	sie	PPER	PPER
ADV	93	41	gleich	ADV	ADJD
_	93	42	wie	KOKOM	KOKOM
_	93	43	die	ART	ART
NN	93	44	Äpfel	NE	NN
_	93	45	und	KON	KON
_	93	46	Birnen	NN	NN
_	93	47	auf	APPR	APPR
_	93	48	den	ART	ART
_	93	49	Bäumen	NN	NN
_	93	50	allgemachsam	ADJD	ADJD
_	93	51	reif	ADJD	ADJD
_	93	52	werden	VAINF	VAINF
_	93	53	sollten	VMFIN	VMFIN
_	93	54	.	$.	$.
_	94	1	es	PPER	PPER
_	94	2	ist	VAFIN	VAFIN
_	94	3	auch	ADV	ADV
_	94	4	niemals	ADV	ADV
VVPP	94	5	erfahren	VVINF	VVPP
_	94	6	worden	VAPP	VAPP
_	94	7	/	$(	$(
_	94	8	dass	KOUS	KOUS
_	94	9	die	ART	ART
_	94	10	Bergleute	NN	NN
_	94	11	jemals	ADV	ADV
_	94	12	unter	APPR	APPR
_	94	13	der	ART	ART
_	94	14	Erde	NN	NN
ADJA	94	15	unreifes	ADJD	ADJA
_	94	16	Gold	NN	NN
_	94	17	oder	KON	KON
_	94	18	Silber	NN	NN
_	94	19	angetroffen	VVPP	VVPP
_	94	20	hätten	VAFIN	VAFIN
_	94	21	/	$(	$(
PRELS	94	22	welches	PRELS	PWS
_	94	23	doch	ADV	ADV
_	94	24	nicht	PTKNEG	PTKNEG
_	94	25	möglich	ADJD	ADJD
_	94	26	gewesen	VAPP	VAPP
_	94	27	wäre	VAFIN	VAFIN
_	94	28	/	$(	$(
_	94	29	so	ADV	ADV
_	94	30	desselben	PDS	PDS
PIS	94	31	etwas	PIS	ADV
_	94	32	unter	APPR	APPR
_	94	33	der	ART	ART
_	94	34	Erde	NN	NN
_	94	35	vorhanden	ADJD	ADJD
_	94	36	/	$(	$(
_	94	37	oder	KON	KON
_	94	38	da	ADV	ADV
_	94	39	die	ART	ART
_	94	40	Metalle	NN	NN
_	94	41	unter	APPR	APPR
_	94	42	der	ART	ART
_	94	43	Erde	NN	NN
_	94	44	allgemachsam	ADJD	ADJD
VVPP	94	45	perfiziert	NE	VVPP
_	94	46	und	KON	KON
_	94	47	zeitig	ADJD	ADJD
_	94	48	würden	VAFIN	VAFIN
_	94	49	.	$.	$.
_	95	1	denn	KON	KON
_	95	2	was	PWS	PWS
_	95	3	der	ART	ART
_	95	4	gottselige	ADJA	ADJA
_	95	5	und	KON	KON
_	95	6	hoch	ADJD	ADJD
_	95	7	erfahrene	ADJA	ADJA
_	95	8	Herr	NN	NN
_	95	9	Magister	NN	NN
_	95	10	Johannes	NE	NE
_	95	11	Matthesius	NE	NE
ADJA	95	12	christlicher	NN	ADJA
_	95	13	Gedächtnis	NN	NN
_	95	14	/	$(	$(
_	95	15	in	APPR	APPR
_	95	16	seiner	PPOSAT	PPOSAT
_	95	17	Bergpostille	NN	NN
_	95	18	in	APPR	APPR
_	95	19	der	ART	ART
_	95	20	dritten	ADJA	ADJA
_	95	21	Predigt	NN	NN
_	95	22	für	APPR	APPR
NN	95	23	Experimenta	NE	NN
VVFIN	95	24	anzeucht	NN	VVFIN
_	95	25	/	$(	$(
_	95	26	damit	PAV	PAV
_	95	27	zu	PTKZU	PTKZU
VVINF	95	28	behaupten	VVFIN	VVINF
_	95	29	/	$(	$(
_	95	30	dass	KOUS	KOUS
_	95	31	die	ART	ART
_	95	32	Metalle	NN	NN
_	95	33	von	APPR	APPR
_	95	34	Jahr	NN	NN
APPR	95	35	zu	PTKZU	APPR
_	95	36	Jahr	NN	NN
_	95	37	/	$(	$(
_	95	38	besser	ADJD	ADJD
_	95	39	/	$(	$(
ADJD	95	40	vollkommener	ADJA	ADJD
_	95	41	und	KON	KON
ADJD	95	42	gültiger	ADJA	ADJD
_	95	43	werden	VAINF	VAINF
_	95	44	/	$(	$(
APPR	95	45	bis	VVFIN	KOUS
_	95	46	sie	PPER	PPER
ADJD	95	47	gediegen	ADJD	VVPP
_	95	48	oder	KON	KON
APPR	95	49	zu	PTKZU	APPR
_	95	50	ihrem	PPOSAT	PPOSAT
_	95	51	Stillstand	NN	NN
_	95	52	und	KON	KON
_	95	53	Vollkommenheit	NN	NN
_	95	54	gebracht	VVPP	VVPP
_	95	55	werden	VAINF	VAINF
_	95	56	/	$(	$(
_	95	57	hat	VAFIN	VAFIN
_	95	58	viel	ADV	ADV
_	95	59	eine	ART	ART
PIAT	95	60	andere	ADJA	PIAT
_	95	61	Meinung	NN	NN
_	95	62	und	KON	KON
_	95	63	Ursache	NN	NN
_	95	64	/	$(	$(
_	95	65	und	KON	KON
VVFIN	95	66	lassen	VVINF	VVFIN
_	95	67	die	ART	ART
_	95	68	Philosophi	NN	NN
_	95	69	/	$(	$(
PRELS	95	70	die	ART	ART
_	95	71	nicht	PTKNEG	PTKNEG
_	95	72	oben	ADV	ADV
ADV	95	73	hin	PTKVZ	ADV
_	95	74	nach	APPR	APPR
_	95	75	dem	ART	ART
_	95	76	Ansehen	NN	NN
VVFIN	95	77	urteilen	VVINF	VVINF
_	95	78	/	$(	$(
_	95	79	sondern	KON	KON
_	95	80	der	ART	ART
_	95	81	Natur	NN	NN
_	95	82	Wirkung	NN	NN
_	95	83	eigentlich	ADV	ADV
VVFIN	95	84	erwägen	VVFIN	VVINF
_	95	85	und	KON	KON
VVFIN	95	86	unterscheiden	VVINF	VVINF
_	95	87	/	$(	$(
_	95	88	den	ART	ART
_	95	89	Bergleuten	NN	NN
_	95	90	ihre	PPOSAT	PPOSAT
_	95	91	Art	NN	NN
_	95	92	zu	PTKZU	PTKZU
_	95	93	reden	VVINF	VVINF
_	95	94	:	$.	$.
FM	96	1	Loquentes	FM	ADJA
FM	96	2	cum	FM	NN
FM	96	3	multis	FM	ADJA
$.	96	4	;	$.	$(
FM	96	5	sapientes	FM	ADJA
FM	96	6	cum	FM	NN
FM	96	7	paucis	FM	NE
_	96	8	.	$.	$.
_	97	1	aber	KON	KON
_	97	2	davon	PAV	PAV
_	97	3	ausführlich	ADJD	ADJD
_	97	4	zu	PTKZU	PTKZU
_	97	5	disputieren	VVINF	VVINF
_	97	6	wollte	VMFIN	VMFIN
ADV	97	7	allhier	ADV	ADJA
PTKA	97	8	zu	PTKZU	PTKA
_	97	9	lang	ADJD	ADJD
_	97	10	werden	VAINF	VAINF
_	97	11	.	$.	$.
ADJA	98	1	3.	NE	CARD
_	99	1	man	PIS	PIS
_	99	2	findet	VVFIN	VVFIN
_	99	3	auch	ADV	ADV
_	99	4	in	APPR	APPR
PIAT	99	5	etlichen	ADJA	PIAT
_	99	6	Brunnen	NN	NN
_	99	7	und	KON	KON
_	99	8	fließenden	ADJA	ADJA
_	99	9	Wassern	NN	NN
_	99	10	Goldkörner	NN	NN
_	99	11	und	KON	KON
_	99	12	Goldseifen	NN	NN
_	99	13	/	$(	$(
PRELS	99	14	welche	PWAT	PRELS
_	99	15	aber	ADV	ADV
_	99	16	der	ART	ART
_	99	17	Goldes	NN	NN
_	99	18	Kraft	NN	NN
_	99	19	nicht	PTKNEG	PTKNEG
_	99	20	an	APPR	APPR
_	99	21	sich	PRF	PRF
_	99	22	nehmen	VVINF	VVINF
_	99	23	.	$.	$.
ADJA	100	1	4.	NE	CARD
_	101	1	ich	PPER	PPER
_	101	2	will	VMFIN	VMFIN
VVINF	101	3	geschweigen	VVINF	VVFIN
_	101	4	/	$(	$(
KOUS	101	5	das	ART	PRELS
_	101	6	/	$(	$(
_	101	7	wie	KOKOM	KOKOM
_	101	8	Fallopius	NE	NE
FM	101	9	libro	NE	NE
FM	101	10	de	NE	NE
FM	101	11	aquis	NE	NE
FM	101	12	Thermalibus	NE	NN
NN	101	13	cap.	NN	ADJA
_	101	14	8.	ADJA	ADJA
_	101	15	auch	ADV	ADV
_	101	16	hiervon	PAV	PAV
VVFIN	101	17	disputiert	VVPP	VVFIN
_	101	18	/	$(	$(
_	101	19	fast	ADV	ADV
_	101	20	nicht	PTKNEG	PTKNEG
_	101	21	müglich	ADJD	ADJD
_	101	22	sei	VAFIN	VAFIN
_	101	23	/	$(	$(
_	101	24	dass	KOUS	KOUS
_	101	25	sich	PRF	PRF
_	101	26	das	ART	ART
_	101	27	schlechte	ADJA	ADJA
_	101	28	Wasser	NN	NN
_	101	29	mit	APPR	APPR
_	101	30	dem	ART	ART
_	101	31	Gold	NN	NN
_	101	32	also	ADV	ADV
_	101	33	vermische	VVFIN	VVFIN
_	101	34	/	$(	$(
_	101	35	dass	KOUS	KOUS
_	101	36	es	PPER	PPER
_	101	37	seine	PPOSAT	PPOSAT
_	101	38	Natur	NN	NN
_	101	39	an	APPR	APPR
_	101	40	sich	PRF	PRF
_	101	41	nehme	VVFIN	VVFIN
_	101	42	/	$(	$(
KOUS	101	43	sintemal	KOUS	ADV
_	101	44	das	ART	ART
_	101	45	Gold	NN	NN
_	101	46	also	ADV	ADV
_	101	47	hart	ADJD	ADJD
_	101	48	und	KON	KON
ADJD	101	49	tüchte	NN	ADJD
_	101	50	ist	VAFIN	VAFIN
_	101	51	/	$(	$(
_	101	52	dass	KOUS	KOUS
_	101	53	es	PPER	PPER
_	101	54	einem	ART	ART
_	101	55	kalten	ADJA	ADJA
_	101	56	schlechten	ADJA	ADJA
_	101	57	Wasser	NN	NN
_	101	58	von	APPR	APPR
_	101	59	seiner	PPOSAT	PPOSAT
_	101	60	Substanz	NN	NN
_	101	61	nichts	PIS	PIS
_	101	62	zukommen	VVINF	VVINF
_	101	63	lässt	VVFIN	VVFIN
_	101	64	.	$.	$.
PAV	102	1	Dahero	FM	PAV
NE	102	2	Reinerus	FM	NE
NE	102	3	Solenander	FM	NE
NN	102	4	lib.	FM	NE
ADJA	102	5	2.	FM	ADJA
FM	102	6	c.	FM	NN
ADJA	102	7	2.	FM	ADJA
FM	102	8	de	FM	NE
FM	102	9	font	FM	NE
_	102	10	.	$.	$.
FM	102	11	temper.	FM	NE
FM	102	12	p.	FM	APPR
ADJA	102	13	148.	FM	ADJA
VVFIN	102	14	sagt	FM	VVFIN
_	102	15	:	$.	$.
FM	102	16	Quæ	FM	NE
FM	102	17	perfectissimè	FM	NE
FM	102	18	mista	FM	NE
FM	102	19	sunt	FM	VVFIN
_	102	20	,	$,	$,
FM	102	21	benè	FM	NE
FM	102	22	compacta	FM	NE
FM	102	23	insigniter	FM	NE
FM	102	24	dura	FM	NE
_	102	25	,	$,	$,
FM	102	26	nihil	FM	NE
FM	102	27	ea	FM	ADJA
FM	102	28	humectatione	FM	NN
_	102	29	(	$(	$(
FM	102	30	nisi	FM	NE
FM	102	31	id	FM	NE
_	102	32	,	$,	$,
FM	102	33	quo	FM	NE
FM	102	34	humectentur	FM	NN
_	102	35	,	$,	$,
FM	102	36	insigniter	FM	NN
FM	102	37	acre	FM	NE
FM	102	38	fuerit	FM	NE
_	102	39	)	$(	$(
FM	102	40	dimittunt	FM	NE
_	102	41	,	$,	$,
FM	102	42	ut	FM	ADJA
FM	102	43	videre	FM	ADJA
FM	102	44	licet	FM	VVFIN
FM	102	45	in	FM	APPR
FM	102	46	vitro	FM	NE
_	102	47	,	$,	$,
FM	102	48	auro	FM	NE
_	102	49	,	$,	$,
FM	102	50	argento	FM	NE
_	102	51	,	$,	$,
FM	102	52	marmore	FM	NE
_	102	53	,	$,	$,
FM	102	54	maximè	FM	NE
FM	102	55	Carrariensi	FM	NE
_	102	56	,	$,	$,
FM	102	57	vel	FM	VVFIN
FM	102	58	alio	FM	NE
FM	102	59	quovis	FM	NE
FM	102	60	durissimo	FM	NE
_	102	61	.	$.	$.
FM	103	1	Nam	FM	NE
FM	103	2	licet	FM	NE
FM	103	3	aqua	FM	NE
FM	103	4	ex	FM	FM
FM	103	5	his	FM	PPOSAT
FM	103	6	concrescat	FM	NN
_	103	7	,	$,	$,
FM	103	8	nihil	FM	ADJD
FM	103	9	ex	FM	FM
FM	103	10	his	FM	PPOSAT
FM	103	11	sibi	FM	NE
FM	103	12	assumit	FM	NE
_	103	13	,	$,	$,
FM	103	14	quod	FM	NE
FM	103	15	observatione	FM	NN
FM	103	16	sit	FM	VVFIN
FM	103	17	dignum	FM	NN
_	103	18	.	$.	$.
FM	104	1	At	FM	FM
FM	104	2	si	FM	NE
FM	104	3	in	FM	APPR
FM	104	4	aliis	FM	NE
FM	104	5	condensetur	FM	NN
_	104	6	,	$,	$,
FM	104	7	terreo	FM	NE
FM	104	8	corpore	FM	NE
_	104	9	,	$,	$,
FM	104	10	succo	FM	NE
FM	104	11	concreto	FM	NE
_	104	12	,	$,	$,
FM	104	13	saxo	FM	NE
FM	104	14	aliquo	FM	NE
FM	104	15	vel	FM	VVFIN
FM	104	16	metallo	FM	NE
FM	104	17	molli	FM	NE
FM	104	18	impuróve	FM	NE
_	104	19	,	$,	$,
FM	104	20	sanè	FM	ADJA
FM	104	21	permultum	FM	NN
FM	104	22	ejus	FM	NE
FM	104	23	qualitatis	FM	NE
$(	104	24	&	$(	KON
FM	104	25	naturæ	FM	ADJA
FM	104	26	imbibit	FM	NN
_	104	27	.	$.	$.
ADV	105	1	ja	PTKANT	ADV
_	105	2	ob	KOUS	KOUS
ADV	105	3	gleich	ADV	ADJD
_	105	4	der	ART	ART
_	105	5	Brunnen	NN	NN
_	105	6	das	ART	ART
_	105	7	Gold	NN	NN
_	105	8	oder	KON	KON
_	105	9	Silber	NN	NN
_	105	10	leibhaftig	ADJD	ADJD
_	105	11	in	APPR	APPR
_	105	12	sich	PRF	PRF
_	105	13	hätte	VAFIN	VAFIN
_	105	14	/	$(	$(
_	105	15	so	ADV	ADV
_	105	16	könnte	VMFIN	VMFIN
_	105	17	er	PPER	PPER
_	105	18	doch	ADV	ADV
_	105	19	die	ART	ART
_	105	20	Kräfte	NN	NN
_	105	21	nicht	PTKNEG	PTKNEG
_	105	22	von	APPR	APPR
_	105	23	ihnen	PPER	PPER
_	105	24	haben	VAFIN	VAFIN
_	105	25	/	$(	$(
KOUS	105	26	sintemal	KOUS	ADV
_	105	27	die	ART	ART
NN	105	28	Chymici	NE	NN
_	105	29	selber	ADV	ADV
VVFIN	105	30	bekennen	VVFIN	VVINF
_	105	31	/	$(	$(
_	105	32	dass	KOUS	KOUS
_	105	33	das	ART	ART
_	105	34	Gold	NN	NN
_	105	35	/	$(	$(
_	105	36	wenn	KOUS	KOUS
_	105	37	man	PIS	PIS
_	105	38	es	PPER	PPER
_	105	39	schon	ADV	ADV
_	105	40	in	APPR	APPR
_	105	41	Leib	NN	NN
_	105	42	nimmt	VVFIN	VVFIN
_	105	43	/	$(	$(
_	105	44	doch	ADV	ADV
_	105	45	nicht	PTKNEG	PTKNEG
_	105	46	von	APPR	APPR
_	105	47	unserer	PPOSAT	PPOSAT
_	105	48	natürlichen	ADJA	ADJA
